feature,importance
tonnetz_6,0.051355441645571716
chroma_cens_G,0.05036785463525618
tonnetz_3,0.04834071304204724
chroma_stft_D#,0.04684703706466383
tonnetz_4,0.04347912370461426
tonnetz_1,0.04226487691357175
chroma_cens_F,0.04136036070657303
chroma_cens_B,0.040263894166028526
tonnetz_2,0.039965467306293065
tonnetz_5,0.03820196337131677
chroma_cens_C,0.03778924559742048
chroma_cens_D#,0.03694173678418114
chroma_stft_C,0.03692656941977829
chroma_cens_D,0.03497805141567376
chroma_stft_G,0.03449586268524415
chroma_cens_A#,0.033143352927965726
chroma_cens_F#,0.03305481780541362
chroma_stft_G#,0.03138445862206714
chroma_stft_F#,0.030054378391299694
chroma_cens_E,0.029425510128288878
chroma_cens_G#,0.029382291420092882
chroma_stft_A,0.02904953390139313
chroma_cens_C#,0.024977720346324825
chroma_cens_A,0.024281549269385406
chroma_stft_D,0.022751421977169707
chroma_stft_B,0.0208897494837718
chroma_stft_A#,0.017411408026471856
chroma_stft_C#,0.017348843724549437
chroma_stft_F,0.01465014588801985
chroma_stft_E,0.007248950090770451
mfcc_4,0.0034149326112378475
mfcc_3,0.002709497602721494
mfcc_5,0.0016929460197648823
mfcc_2,0.0014816341026549623
mfcc_1,0.0012477310889775818
spectral_centroid,0.000820928113424694
